"lad19cd","council","pub_year","year","section","blank","nondisc","unknown","white","bme","female","blank_sexuality","nondisc_sexuality","unknown_sexuality","heterosexual","all_other_sexualities","blank_marital","nondisc_marital","unknown_marital","notes","link","bmepop"
"S12000033","Aberdeen City",2019,2018,"All",19.97,5.83,25.8,62.61,11.59,69.33,31.99,5.69,37.68,61.04,1.28,28.33,3.99,32.32,"","https://www.aberdeencity.gov.uk/sites/default/files/2020-02/Appendix%202.pdf",8.11425852697347
"S12000033","Aberdeen City",2019,2017,"All",18.13,6.18,24.31,63.46,12.23,68.6,31.29,6.01,37.3,61.36,1.34,29.1,3.8,32.9,"","https://www.aberdeencity.gov.uk/sites/default/files/2020-02/Appendix%202.pdf",8.11425852697347
"S12000033","Aberdeen City",2017,2016,"All",14.32,7.24,21.56,64.2,14.24,68.8,31,6.8,37.8,61.1,1.1,24,3.9,27.9,"","https://www.aberdeencity.gov.uk/sites/default/files/ACC%20Employee%20Information.pdf",8.11425852697347
"S12000033","Aberdeen City",2017,2015,"All",14.78,7.36,22.14,63.55,14.31,68.8,31.7,6.8,38.5,60.4,1.1,24.3,3.8,28.1,"","https://www.aberdeencity.gov.uk/sites/default/files/ACC%20Employee%20Information.pdf",8.11425852697347
"S12000034","Aberdeenshire",2017,2016,"All",NA,NA,33.45,65.36,1.19,77.81,NA,NA,45,54.09,0.91,NA,NA,NA,"","http://publications.aberdeenshire.gov.uk/dataset/d94d5751-0329-4fce-88ae-0355d1197da7/resource/43aa46f4-e053-48e2-be7c-6c8e9bfd71dd/download/mainstream-and-outcomes-report-2017-21.pdf",1.52624983693912
"S12000034","Aberdeenshire",2017,2015,"All",NA,NA,21.46,77.01,1.53,78.05,NA,NA,NA,NA,NA,NA,NA,NA,"","http://publications.aberdeenshire.gov.uk/dataset/d94d5751-0329-4fce-88ae-0355d1197da7/resource/43aa46f4-e053-48e2-be7c-6c8e9bfd71dd/download/mainstream-and-outcomes-report-2017-21.pdf",1.52624983693912
"S12000041","Angus",2019,2018,"All",26.56,8.37,34.93,64.12,0.95,74.8,84.24,0.52,84.76,15.05,0.19,53.08,0.07,53.15,"","https://www.angus.gov.uk/sites/angus-cms/files/2019-04/140_app2_0.pdf",1.30197106347755
"S12000041","Angus",2017,2016,"All",16.7,9.51,26.22,72.99,0.79,75.82,86.76,0.48,87.24,12.65,0.11,59.29,0.02,59.32,"","https://www.angus.gov.uk/sites/angus-cms/files/2017-08/Equalities%20Mainstreaming%20Report%20and%20Equality%20Outcomes%20%282017-2019%29.pdf",1.30197106347755
"S12000041","Angus",2015,2014,"All",6.58,11.82,18.39,81.11,0.5,75.04,NA,NA,NA,NA,NA,NA,NA,NA,"","https://www.angus.gov.uk/sites/angus-cms/files/2017-08/176%20Equalities%20Mainstreaming_Appendix%202.pdf",1.30197106347755
"S12000035","Argyll and Bute",2019,2018,"All",NA,NA,36,63,1,75,NA,NA,73,26,1,NA,NA,50,"","https://www.argyll-bute.gov.uk/sites/default/files/equalities_mainstreaming_report_2019.pdf",1.24651226096228
